"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"316","0.089236","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=872, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"657","0.191580","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=873, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1055","0.293761","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=874, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1399","0.396461","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=875, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1745","0.498749","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=876, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2092","0.600929","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=877, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2474","0.703304","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=878, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2865","0.805390","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-93 dBm","49 dB","Beacon frame, SN=879, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3186","0.908093","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=880, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3497","1.010514","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=881, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3766","1.112825","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=882, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4072","1.215269","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=883, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4377","1.317659","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=884, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4717","1.420061","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=885, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5037","1.522484","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=886, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5362","1.624935","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=887, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5666","1.727618","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=888, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5997","1.829668","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=889, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6320","1.932051","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=890, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6654","2.034740","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=891, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6979","2.136804","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=892, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7284","2.239200","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=893, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7630","2.341892","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=894, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7980","2.443872","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=895, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8338","2.546411","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=896, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8666","2.649084","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=897, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9027","2.751491","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=898, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
