"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"412","0.065443","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-92 dBm","50 dB","Beacon frame, SN=3926, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"825","0.167595","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-92 dBm","50 dB","Beacon frame, SN=3927, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1291","0.270425","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-92 dBm","50 dB","Beacon frame, SN=3928, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1634","0.372292","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3929, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2003","0.475007","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3930, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2466","0.577070","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-92 dBm","50 dB","Beacon frame, SN=3931, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2774","0.679680","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-92 dBm","50 dB","Beacon frame, SN=3932, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3081","0.782196","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-92 dBm","50 dB","Beacon frame, SN=3933, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3595","0.885495","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-92 dBm","50 dB","Beacon frame, SN=3934, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3980","0.987117","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-92 dBm","50 dB","Beacon frame, SN=3935, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4351","1.093238","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3936, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4640","1.192816","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-92 dBm","50 dB","Beacon frame, SN=3937, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5097","1.293795","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3938, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5483","1.396275","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3939, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5886","1.498708","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3940, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6259","1.601264","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3941, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6714","1.703349","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3942, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
