"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"12","0.075593","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-88 dBm","88 dB","Beacon frame, SN=1244, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24","0.177807","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-88 dBm","88 dB","Beacon frame, SN=1245, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"36","0.280103","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-45 dBm","-88 dBm","43 dB","Beacon frame, SN=1246, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"50","0.382605","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-47 dBm","-88 dBm","41 dB","Beacon frame, SN=1247, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"59","0.484718","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-47 dBm","-88 dBm","41 dB","Beacon frame, SN=1248, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"73","0.587438","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-88 dBm","88 dB","Beacon frame, SN=1249, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"84","0.690768","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-52 dBm","-88 dBm","36 dB","Beacon frame, SN=1250, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"96","0.792152","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-88 dBm","35 dB","Beacon frame, SN=1251, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"108","0.894528","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-46 dBm","-88 dBm","42 dB","Beacon frame, SN=1252, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"123","0.999251","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-88 dBm","88 dB","Beacon frame, SN=1253, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"163","1.204698","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-46 dBm","-88 dBm","42 dB","Beacon frame, SN=1255, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
