"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"179","0.076828","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-92 dBm","36 dB","Beacon frame, SN=654, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"364","0.179315","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-92 dBm","37 dB","Beacon frame, SN=655, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"542","0.281693","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-92 dBm","36 dB","Beacon frame, SN=656, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"734","0.384073","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-92 dBm","36 dB","Beacon frame, SN=657, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"915","0.486547","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-92 dBm","38 dB","Beacon frame, SN=658, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1078","0.589187","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-92 dBm","39 dB","Beacon frame, SN=659, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1327","0.691279","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-92 dBm","37 dB","Beacon frame, SN=660, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1503","0.793683","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-92 dBm","37 dB","Beacon frame, SN=661, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1645","0.896092","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-92 dBm","37 dB","Beacon frame, SN=662, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1821","0.998457","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-92 dBm","38 dB","Beacon frame, SN=663, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
