"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"22","0.132058","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-54 dBm","-85 dBm","31 dB","Beacon frame, SN=1780, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"82","0.439249","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=1783, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"119","0.644017","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=1785, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"133","0.746432","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-49 dBm","-86 dBm","37 dB","Beacon frame, SN=1786, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"158","0.848796","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=1787, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"172","0.951249","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-56 dBm","-86 dBm","30 dB","Beacon frame, SN=1788, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"225","1.258443","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-51 dBm","-86 dBm","35 dB","Beacon frame, SN=1791, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"247","1.360830","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-54 dBm","-86 dBm","32 dB","Beacon frame, SN=1792, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"277","1.565604","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=1794, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"301","1.770467","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-52 dBm","-86 dBm","34 dB","Beacon frame, SN=1796, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"318","1.872804","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-57 dBm","-86 dBm","29 dB","Beacon frame, SN=1797, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"332","1.975220","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-51 dBm","-86 dBm","35 dB","Beacon frame, SN=1798, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"349","2.077926","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-50 dBm","-86 dBm","36 dB","Beacon frame, SN=1799, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"373","2.180098","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-54 dBm","-86 dBm","32 dB","Beacon frame, SN=1800, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"399","2.282469","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-52 dBm","-86 dBm","34 dB","Beacon frame, SN=1801, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"448","2.487495","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=1803, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"487","2.692660","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-56 dBm","-86 dBm","30 dB","Beacon frame, SN=1805, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"511","2.794441","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=1806, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"539","2.896782","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-56 dBm","-86 dBm","30 dB","Beacon frame, SN=1807, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"575","3.103413","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=1809, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"592","3.203976","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-52 dBm","-86 dBm","34 dB","Beacon frame, SN=1810, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"612","3.306352","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-49 dBm","-86 dBm","37 dB","Beacon frame, SN=1811, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"629","3.408807","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-51 dBm","-86 dBm","35 dB","Beacon frame, SN=1812, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"644","3.511209","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=1813, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"679","3.613565","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=1814, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"707","3.716844","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-56 dBm","-86 dBm","30 dB","Beacon frame, SN=1815, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"739","3.818440","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-54 dBm","-86 dBm","32 dB","Beacon frame, SN=1816, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"760","3.920786","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-51 dBm","-86 dBm","35 dB","Beacon frame, SN=1817, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
