"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"21","0.015636","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3143, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"172","0.117805","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3144, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"329","0.220371","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3145, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"459","0.322764","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3146, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"596","0.425075","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3147, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"707","0.527383","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3148, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"842","0.629719","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3149, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"986","0.732146","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3150, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1186","0.834572","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3151, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1370","0.937246","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-93 dBm","39 dB","Beacon frame, SN=3152, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1551","1.039386","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3153, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1683","1.141866","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3154, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1808","1.244114","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3155, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2010","1.346695","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3156, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2261","1.449023","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3157, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2473","1.551587","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3158, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2651","1.653736","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3159, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2822","1.756192","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3160, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2991","1.858969","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-93 dBm","39 dB","Beacon frame, SN=3161, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3148","1.961531","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3162, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3285","2.063277","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3163, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3405","2.165738","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3164, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3530","2.268085","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3165, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3644","2.370466","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3166, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3763","2.473096","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3167, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3884","2.575393","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3168, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4043","2.677829","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-93 dBm","39 dB","Beacon frame, SN=3169, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4177","2.780631","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3170, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4327","2.882828","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3171, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4441","2.985593","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-93 dBm","39 dB","Beacon frame, SN=3172, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4636","3.087606","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3173, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4806","3.189828","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=3174, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4967","3.292610","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3175, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5164","3.394483","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3176, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5315","3.496945","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3177, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5458","3.599633","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=3178, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5618","3.701768","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3179, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5724","3.804182","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3180, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5850","3.906576","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3181, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5980","4.008993","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3182, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6147","4.111442","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=3183, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6293","4.214030","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3184, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
