"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"14","0.032793","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-51 dBm","-86 dBm","35 dB","Beacon frame, SN=3512, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"28","0.135188","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-49 dBm","-86 dBm","37 dB","Beacon frame, SN=3513, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"40","0.239453","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-48 dBm","-86 dBm","38 dB","Beacon frame, SN=3514, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"56","0.339995","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-47 dBm","-86 dBm","39 dB","Beacon frame, SN=3515, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"69","0.442381","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-51 dBm","-86 dBm","35 dB","Beacon frame, SN=3516, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"99","0.647304","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=3518, FN=0, Flags=........C, BI=100, SSID=""Z5319476""[Malformed Packet: length of contained item exceeds length of containing item]"
"137","0.852026","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=3520, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"155","0.954416","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-45 dBm","-86 dBm","41 dB","Beacon frame, SN=3521, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"226","1.363950","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-47 dBm","-86 dBm","39 dB","Beacon frame, SN=3525, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"242","1.466385","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-46 dBm","-86 dBm","40 dB","Beacon frame, SN=3526, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"261","1.568766","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-56 dBm","-86 dBm","30 dB","Beacon frame, SN=3527, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"275","1.673199","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-58 dBm","-86 dBm","28 dB","Beacon frame, SN=3528, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"300","1.875993","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=3530, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"310","1.980705","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-54 dBm","-86 dBm","32 dB","Beacon frame, SN=3531, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"332","2.081088","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","257","-48 dBm","-86 dBm","38 dB","Beacon frame, SN=3532, FN=0, Flags=........C, BI=100, SSID=""Z5319476""[Malformed Packet: length of contained item exceeds length of containing item]"
"348","2.184876","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=3533, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"399","2.594683","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-60 dBm","-86 dBm","26 dB","Beacon frame, SN=3537, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"414","2.695208","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=3538, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"435","2.797615","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-50 dBm","-86 dBm","36 dB","Beacon frame, SN=3539, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"453","2.901976","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-55 dBm","-86 dBm","31 dB","Beacon frame, SN=3540, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
