"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"36","0.024819","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=259, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"185","0.127237","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=260, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"332","0.229633","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=261, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"499","0.332018","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=262, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"657","0.434580","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=263, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"792","0.536802","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=264, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"936","0.639215","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=265, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1108","0.741637","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=266, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1316","0.844008","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=267, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1501","0.946448","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=268, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1676","1.048794","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=269, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1997","1.253631","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-93 dBm","39 dB","Beacon frame, SN=271, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2150","1.355993","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=272, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2331","1.458395","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=273, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2493","1.560801","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=274, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2632","1.663289","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=275, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2798","1.765452","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=276, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2981","1.868032","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=277, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3150","1.970399","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=278, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3328","2.072798","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=279, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3484","2.175335","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-61 dBm","-93 dBm","32 dB","Beacon frame, SN=280, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3641","2.277637","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=281, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3796","2.379974","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=282, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3960","2.482404","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=283, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4111","2.584785","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=284, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4260","2.687182","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=285, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
