"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"29","0.175258","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-57 dBm","-86 dBm","29 dB","Beacon frame, SN=1945, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"85","0.482518","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-59 dBm","-86 dBm","27 dB","Beacon frame, SN=1948, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"144","0.789619","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-61 dBm","-86 dBm","25 dB","Beacon frame, SN=1951, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"159","0.892041","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-60 dBm","-86 dBm","26 dB","Beacon frame, SN=1952, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"189","1.096827","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-58 dBm","-86 dBm","28 dB","Beacon frame, SN=1954, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"204","1.199276","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-58 dBm","-86 dBm","28 dB","Beacon frame, SN=1955, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"216","1.301687","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-58 dBm","-86 dBm","28 dB","Beacon frame, SN=1956, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"229","1.404832","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-58 dBm","-86 dBm","28 dB","Beacon frame, SN=1957, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"243","1.506520","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=1958, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"279","1.813600","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-57 dBm","-86 dBm","29 dB","Beacon frame, SN=1961, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"307","2.018793","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=1963, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"321","2.120937","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-58 dBm","-86 dBm","28 dB","Beacon frame, SN=1964, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"335","2.223278","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-57 dBm","-86 dBm","29 dB","Beacon frame, SN=1965, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"394","2.530876","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-57 dBm","-86 dBm","29 dB","Beacon frame, SN=1968, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"446","2.737593","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=1970, FN=0, Flags=........C, BI=100, SSID=""Z5319476""[Malformed Packet]"
"464","2.837527","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-59 dBm","-86 dBm","27 dB","Beacon frame, SN=1971, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"499","3.044570","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-56 dBm","-86 dBm","30 dB","Beacon frame, SN=1973, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"512","3.145292","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-58 dBm","-86 dBm","28 dB","Beacon frame, SN=1974, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"537","3.349640","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-58 dBm","-86 dBm","28 dB","Beacon frame, SN=1976, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"572","3.656787","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-57 dBm","-86 dBm","29 dB","Beacon frame, SN=1979, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"626","3.861712","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-58 dBm","-86 dBm","28 dB","Beacon frame, SN=1981, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"692","4.168833","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-57 dBm","-86 dBm","29 dB","Beacon frame, SN=1984, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"737","4.373649","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-58 dBm","-88 dBm","30 dB","Beacon frame, SN=1986, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"823","4.682362","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-58 dBm","-88 dBm","30 dB","Beacon frame, SN=1989, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"843","4.783172","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","-59 dBm","-88 dBm","29 dB","Beacon frame, SN=1990, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"875","4.987960","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-88 dBm","88 dB","Beacon frame, SN=1992, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"893","5.090309","ee:2b:8d:52:ad:e3","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-88 dBm","88 dB","Beacon frame, SN=1993, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
