"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"33","0.019984","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=320, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"244","0.122418","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=321, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"532","0.224850","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=322, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"694","0.327263","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=323, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"886","0.429572","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=324, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1039","0.532050","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=325, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1213","0.634246","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=326, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1368","0.736800","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=327, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1538","0.839231","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=328, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1700","0.941915","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=329, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1862","1.044012","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=330, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2037","1.146747","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=331, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2238","1.248795","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=332, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2414","1.351459","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=333, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
